month-year,year,advertiser,brand root,category level 2,category level 3,category level 8,channel,placement,publisher,impressions,spend (usd)
Jan 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Instagram,Reels,Instagram,17704,143.03
Jan 2025,2025,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,YouTube,In-Stream,YouTube,43991,61.64
Jul 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,8308333,60406.12
Jul 2024,2024,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,844011,6117.55
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,greencarreports.com,1552,4.83
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,rare.us (Cox Enterprises),49957,205.19
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,scoopnest.com,9888,29.74
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,the-sun.com,45031,133.67
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,theprint.in,1956,6.09
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,wchstv.com,4216,12.67
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Feed,Facebook,56124814,410467.07
